"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"1",36,"AFDN",0.252370203545445,"node_type1",0.252368583108856,"node_type2",0.0502210571129326,0.0100890600762468
"2",41,"AIM2",0.232109428956863,"node_type1",0.235060564882265,"node_type2",0.0178183193898087,0.26629729631495
"3",52,"APAF1",0.217460589895098,"node_type1",0.219403915480128,"node_type2",0.20364347588556,0.029787156722245
"4",61,"ARF6",0.143962912010512,"node_type1",0.14379984712443,"node_type2",0.0158101498937261,0.0470060475383765
"5",73,"ATG16L1",0.108177212301969,"node_type1",0.106631696729491,"node_type2",0.0526049488930237,0.0534850255903197
"6",102,"AZI2",0.255020457964857,"node_type1",0.255835430402858,"node_type2",0.0197823795542881,0.122195880640765
"7",107,"BCL10",0.0374551346419493,"node_type1",0.0374493346601866,"node_type2",0.0150954145949223,0.0673912948221108
"8",110,"BCL2L1",0.0690318461135663,"node_type1",0.0686731813857538,"node_type2",0.0447209122747484,0.062642246800028
"9",112,"BCL3",0.131009398373414,"node_type1",0.128826332154854,"node_type2",0.0098935015226612,0.0763822539566287
"10",115,"BEX3",0.41382312387549,"node_type1",0.412995600763461,"node_type2",0.0074912252165908,0.155645575780763
"11",116,"BID",0.593912776213787,"node_type1",0.593533324533566,"node_type2",0.145342581262079,0.166957608550261
"12",130,"BRCC3",0.266181490260265,"node_type1",0.259984872085192,"node_type2",0.0373430755568526,0.123148390565156
"13",137,"CACYBP",0.279408928214559,"node_type1",0.270698875808897,"node_type2",0.178314240226357,0.155431109563638
"14",149,"CARD11",0.0602493374179891,"node_type1",0.0604268516701197,"node_type2",0.411452719734296,0.39012625003297
"15",151,"CARD16",0.275160831862745,"node_type1",0.274049506330128,"node_type2",0.0297638636077187,0.0007048262608023
"16",153,"CARD8",0.333333333333333,"node_type1",0.333333333333333,"node_type2",0.194496069723543,0.277549555878038
"17",155,"CASP1",0.133665287891695,"node_type1",0.131390422743745,"node_type2",0.287382713510719,0.0449987078313646
"18",156,"CASP10",0.067439802052628,"node_type1",0.0676151916535231,"node_type2",0.0045051002233087,0.0133599014117992
"19",158,"CASP4",0.34028269171951,"node_type1",0.339526781229105,"node_type2",0.345641405976357,0.235118237062539
"20",159,"CASP5",0.323266679111372,"node_type1",0.33709381382288,"node_type2",0.0529856923439739,0.13072796254824
"21",161,"CASP8",0.0466931489357036,"node_type1",0.0467352183701292,"node_type2",0.0690212185230067,0.260322463735437
"22",162,"CASP9",0.0860553879937763,"node_type1",0.0865292686076529,"node_type2",0.0034362699258957,0.0012965136312066
"23",167,"CBLB",0.073616783465445,"node_type1",0.0729301693838576,"node_type2",0.0477180575197994,0.180389910676736
"24",189,"CD14",0.213483909600245,"node_type1",0.209950069877628,"node_type2",0.0248391547244728,0.0201406536878838
"25",192,"CD247",0.106009749456377,"node_type1",0.108428961837721,"node_type2",0.165423026235092,0.139058201393804
"26",196,"CD3E",0.182911831051245,"node_type1",0.183147415129846,"node_type2",0.102593996900441,0.300782642033772
"27",197,"CD4",0.183237164337392,"node_type1",0.185588687792436,"node_type2",0.0499659199520587,0.0715393287260281
"28",198,"CD40",0.198083794743667,"node_type1",0.197973618729003,"node_type2",0.0865327214275202,0.0535154696739157
"29",199,"CD40LG",0.360766290992297,"node_type1",0.361814809111264,"node_type2",0.000129985405944,0.0467611073362453
"30",203,"CD80",0.2,"node_type1",0.2,"node_type2",0.0456568956536384,0.0602894165175113
"31",205,"CD86",0.2,"node_type1",0.2,"node_type2",0.0270864858614348,0.0037797156122222
"32",206,"CD8A",0.180962808245451,"node_type1",0.18424482348391,"node_type2",0.212756558075034,0.180549752485816
"33",207,"CD8B",0.181483816019343,"node_type1",0.187939933288712,"node_type2",0.108218691615287,0.0246346517648026
"34",211,"CDH1",0.265962917474389,"node_type1",0.26730002145899,"node_type2",0.0300224741287484,0.0013952679665447
