"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_MF_DIRECT","NAD+ nucleosidase activity, cyclic ADP-ribose generating","3","142","16","19272","5.96e-3","4.81e-2","25.45","8.62e-1","4.19e-2","2.04e-4","IL1R1,IL1RAP,TLR4"
"GOTERM_BP_DIRECT","positive regulation of monocyte chemotactic protein-1 production","3","142","15","19512","5.12e-3","4.31e-2","27.48","9.99e-1","3.81e-2","1.61e-4","SYK,CLEC7A,IL1B"
"GOTERM_BP_DIRECT","regulation of interleukin-1 beta production","3","142","15","19512","5.12e-3","4.31e-2","27.48","9.99e-1","3.81e-2","1.61e-4","CASP1,CARD16,MEFV"
"GOTERM_MF_DIRECT","kinase activator activity","3","142","14","19272","4.57e-3","4.03e-2","29.08","7.80e-1","3.50e-2","1.34e-4","MOB1B,MOB1A,BCL10"
"GOTERM_BP_DIRECT","positive regulation of heterotypic cell-cell adhesion","3","142","14","19512","4.46e-3","3.86e-2","29.44","9.98e-1","3.41e-2","1.30e-4","LCK,IL1B,SKAP1"
"GOTERM_BP_DIRECT","cellular response to oxidised low-density lipoprotein particle stimulus","3","142","14","19512","4.46e-3","3.86e-2","29.44","9.98e-1","3.41e-2","1.30e-4","TXNIP,TICAM1,TLR4"
"GOTERM_MF_DIRECT","caspase binding","3","142","13","19272","3.93e-3","3.62e-2","31.32","7.29e-1","3.15e-2","1.06e-4","CARD16,FADD,NLRC4"
"GOTERM_MF_DIRECT","T cell receptor binding","3","142","13","19272","3.93e-3","3.62e-2","31.32","7.29e-1","3.15e-2","1.06e-4","LCK,FYN,CD3E"
"INTERPRO","Ras_G-nucl-exch_fac_CS","3","142","14","20827","3.93e-3","5.68e-2","31.43","8.47e-1","5.32e-2","1.07e-4","RAPGEF1,RGL1,RGL2"
"GOTERM_BP_DIRECT","response to muramyl dipeptide","3","142","13","19512","3.84e-3","3.45e-2","31.71","9.94e-1","3.05e-2","1.02e-4","ERBIN,NLRP1,NOD2"
"SMART","ITAM","3","107","9","10704","3.34e-3","4.90e-2","33.35","2.55e-1","4.46e-2","7.81e-5","FCER1G,CD247,CD3E"
"GOTERM_BP_DIRECT","positive regulation of immune system process","3","142","12","19512","3.26e-3","2.99e-2","34.35","9.88e-1","2.64e-2","7.91e-5","ITCH,CD4,TLR3"
"INTERPRO","Grb2-like","3","142","12","20827","2.87e-3","4.42e-2","36.67","7.47e-1","4.14e-2","6.53e-5","LCK,GRAP2,FYN"
"GOTERM_BP_DIRECT","TRIF-dependent toll-like receptor signaling pathway","3","142","11","19512","2.73e-3","2.56e-2","37.48","9.75e-1","2.26e-2","5.97e-5","IRF3,TICAM1,TLR4"
"GOTERM_BP_DIRECT","cell surface pattern recognition receptor signaling pathway","3","142","11","19512","2.73e-3","2.56e-2","37.48","9.75e-1","2.26e-2","5.97e-5","SYK,CLEC7A,CD14"
"GOTERM_BP_DIRECT","self proteolysis","3","142","11","19512","2.73e-3","2.56e-2","37.48","9.75e-1","2.26e-2","5.97e-5","CASP8,CARD8,NLRP1"
"GOTERM_BP_DIRECT","CD40 signaling pathway","3","142","10","19512","2.25e-3","2.19e-2","41.22","9.52e-1","1.94e-2","4.36e-5","CD40,CD40LG,TRAF3IP2"
"GOTERM_BP_DIRECT","T-helper 1 type immune response","3","142","10","19512","2.25e-3","2.19e-2","41.22","9.52e-1","1.94e-2","4.36e-5","BCL3,TLR4,RELB"
"INTERPRO","Phos_immunorcpt_sig_ITAM","3","142","10","20827","1.98e-3","3.49e-2","44.00","6.11e-1","3.27e-2","3.60e-5","FCER1G,CD247,CD3E"
"GOTERM_BP_DIRECT","regulation of apoptotic signaling pathway","3","142","9","19512","1.81e-3","1.82e-2","45.80","9.12e-1","1.60e-2","3.07e-5","SIAH1,BID,BCL2L1"
"GOTERM_BP_DIRECT","lymphocyte activation","3","142","9","19512","1.81e-3","1.82e-2","45.80","9.12e-1","1.60e-2","3.07e-5","CD86,CD3E,CARD11"
"GOTERM_BP_DIRECT","regulation of organ growth","3","142","9","19512","1.81e-3","1.82e-2","45.80","9.12e-1","1.60e-2","3.07e-5","LATS1,LATS2,SAV1"
"GOTERM_BP_DIRECT","positive regulation of adaptive immune response","3","142","8","19512","1.41e-3","1.46e-2","51.53","8.51e-1","1.29e-2","2.06e-5","PYCARD,FADD,SKAP1"
"GOTERM_MF_DIRECT","lipopolysaccharide immune receptor activity","3","142","7","19272","1.09e-3","1.50e-2","58.16","3.03e-1","1.31e-2","1.34e-5","LY96,CD14,TLR4"
"GOTERM_CC_DIRECT","death-inducing signaling complex","3","142","7","20808","9.36e-4","8.32e-3","62.80","2.01e-1","6.94e-3","1.07e-5","CASP8,FADD,CFLAR"
"GOTERM_BP_DIRECT","positive regulation of T cell anergy","3","142","6","19512","7.63e-4","8.43e-3","68.70","6.42e-1","7.44e-3","7.43e-6","ITCH,CBLB,CD3E"
"GOTERM_MF_DIRECT","IgE binding","3","142","5","19272","5.24e-4","7.56e-3","81.43","1.59e-1","6.58e-3","3.87e-6","FCER1G,FCER1A,MS4A2"
"GOTERM_BP_DIRECT","positive regulation of mast cell cytokine production","3","142","5","19512","5.11e-4","5.99e-3","82.45","4.98e-1","5.29e-3","3.73e-6","FCER1G,SYK,BCL10"
"UP_KW_MOLECULAR_FUNCTION","IgE-binding protein","3","87","5","12059","4.96e-4","9.17e-3","83.17","1.82e-2","7.68e-3","3.59e-6","FCER1G,FCER1A,MS4A2"
"GOTERM_CC_DIRECT","lipopolysaccharide receptor complex","3","142","5","20808","4.50e-4","4.69e-3","87.92","1.02e-1","3.91e-3","3.08e-6","LY96,CD14,TLR4"
"GOTERM_MF_DIRECT","death effector domain binding","3","142","4","19272","3.16e-4","5.50e-3","101.79","9.93e-2","4.79e-3","1.56e-6","CASP8,CASP10,FADD"
"GOTERM_BP_DIRECT","T cell anergy","3","142","4","19512","3.08e-4","3.79e-3","103.06","3.40e-1","3.35e-3","1.50e-6","ITCH,CBLB,CD3E"
"GOTERM_BP_DIRECT","MDA-5 signaling pathway","3","142","4","19512","3.08e-4","3.79e-3","103.06","3.40e-1","3.35e-3","1.50e-6","IFIH1,IRF3,IRF7"
"GOTERM_BP_DIRECT","T cell differentiation involved in immune response","3","142","4","19512","3.08e-4","3.79e-3","103.06","3.40e-1","3.35e-3","1.50e-6","CLEC4D,FCER1G,CLEC4E"
"UP_SEQ_FEATURE","MOTIF:pLxIS motif","3","141","4","20669","2.71e-4","2.33e-2","109.94","3.72e-1","2.30e-2","1.24e-6","MAVS,STING1,TICAM1"
"GOTERM_BP_DIRECT","AIM2 inflammasome complex assembly","3","142","3","19512","1.55e-4","2.15e-3","137.41","1.88e-1","1.90e-3","3.77e-7","AIM2,CASP1,CARD16"
"GOTERM_BP_DIRECT","detection of biotic stimulus","3","142","3","19512","1.55e-4","2.15e-3","137.41","1.88e-1","1.90e-3","3.77e-7","NLRP3,NOD1,NOD2"
"GOTERM_BP_DIRECT","dendritic cell proliferation","3","142","3","19512","1.55e-4","2.15e-3","137.41","1.88e-1","1.90e-3","3.77e-7","TBK1,AZI2,BCL2L1"
"GOTERM_CC_DIRECT","apoptosome","3","142","3","20808","1.36e-4","1.72e-3","146.54","3.22e-2","1.43e-3","3.11e-7","CASP9,APAF1,CYCS"
"UP_SEQ_FEATURE","DOMAIN:DED 2","3","141","3","20669","1.36e-4","1.46e-2","146.59","2.08e-1","1.44e-2","3.11e-7","CASP8,CASP10,CFLAR"
"UP_SEQ_FEATURE","MUTAGEN:Q->A: Complete loss of cleavage by Seneca Valley virus protease 3C.","3","141","3","20669","1.36e-4","1.46e-2","146.59","2.08e-1","1.44e-2","3.11e-7","MAVS,TICAM1,TANK"
"UP_SEQ_FEATURE","SITE:(Microbial infection) Cleavage; by viral Seneca Valley virus protease 3C","3","141","3","20669","1.36e-4","1.46e-2","146.59","2.08e-1","1.44e-2","3.11e-7","MAVS,TICAM1,TANK"
"UP_SEQ_FEATURE","MUTAGEN:Q->A: No effect on cleavage by Seneca Valley virus protease 3C.","3","141","3","20669","1.36e-4","1.46e-2","146.59","2.08e-1","1.44e-2","3.11e-7","MAVS,TICAM1,TANK"
"UP_SEQ_FEATURE","DOMAIN:DED 1","3","141","3","20669","1.36e-4","1.46e-2","146.59","2.08e-1","1.44e-2","3.11e-7","CASP8,CASP10,CFLAR"
"UP_SEQ_FEATURE","REGION:Interaction with TBK1 and IKBKE","3","141","3","20669","1.36e-4","1.46e-2","146.59","2.08e-1","1.44e-2","3.11e-7","TBKBP1,AZI2,TANK"
"INTERPRO","TBD","3","142","3","20827","1.36e-4","3.81e-3","146.67","6.28e-2","3.57e-3","3.10e-7","TBKBP1,AZI2,TANK"
"INTERPRO","NLRP_Inflammasome","3","142","3","20827","1.36e-4","3.81e-3","146.67","6.28e-2","3.57e-3","3.10e-7","PYCARD,CARD8,NLRP1"
"UP_SEQ_FEATURE","REGION:Homodimerization","2","141","15","20669","9.70e-2","1.00e+0","19.55","1.00e+0","9.88e-1","4.58e-3","TBKBP1,AZI2"
"INTERPRO","NLRP_innate_immun_reg","2","142","15","20827","9.69e-2","3.94e-1","19.56","1.00e+0","3.69e-1","4.57e-3","NLRP3,NLRP1"
"INTERPRO","Ser_Thr_kinase_AGC","2","142","15","20827","9.69e-2","3.94e-1","19.56","1.00e+0","3.69e-1","4.57e-3","LATS1,LATS2"
"INTERPRO","TRAF-like","2","142","15","20827","9.69e-2","3.94e-1","19.56","1.00e+0","3.69e-1","4.57e-3","TRAF4,SIAH1"
"INTERPRO","Bcl-2-like_sf","2","142","15","20827","9.69e-2","3.94e-1","19.56","1.00e+0","3.69e-1","4.57e-3","BID,BCL2L1"
"INTERPRO","Dynamin_N","2","142","15","20827","9.69e-2","3.94e-1","19.56","1.00e+0","3.69e-1","4.57e-3","MFN1,MFN2"
"GOTERM_BP_DIRECT","regulation of tumor necrosis factor production","2","142","14","19512","9.66e-2","3.69e-1","19.63","1.00e+0","3.26e-1","4.52e-3","MAPKAPK2,TLR4"
"GOTERM_BP_DIRECT","leukocyte activation","2","142","14","19512","9.66e-2","3.69e-1","19.63","1.00e+0","3.26e-1","4.52e-3","CLEC7A,TLR4"
"GOTERM_BP_DIRECT","nucleotide-binding oligomerization domain containing 2 signaling pathway","2","142","14","19512","9.66e-2","3.69e-1","19.63","1.00e+0","3.26e-1","4.52e-3","NOD2,TLR4"
"GOTERM_BP_DIRECT","negative regulation of cell motility","2","142","14","19512","9.66e-2","3.69e-1","19.63","1.00e+0","3.26e-1","4.52e-3","CTNNA1,PIN1"
"GOTERM_BP_DIRECT","negative regulation of lipopolysaccharide-mediated signaling pathway","2","142","14","19512","9.66e-2","3.69e-1","19.63","1.00e+0","3.26e-1","4.52e-3","CARD8,CARD16"
"SMART","IRF","2","107","10","10704","9.48e-2","3.82e-1","20.01","1.00e+0","3.47e-1","4.23e-3","IRF3,IRF7"
"GOTERM_MF_DIRECT","gamma-catenin binding","2","142","13","19272","9.11e-2","3.77e-1","20.88","1.00e+0","3.28e-1","3.99e-3","CDH1,CTNNA1"
"UP_SEQ_FEATURE","DOMAIN:Dynamin-type G","2","141","14","20669","9.08e-2","1.00e+0","20.94","1.00e+0","9.88e-1","3.98e-3","MFN1,MFN2"
"INTERPRO","G_DYNAMIN_dom","2","142","14","20827","9.07e-2","3.90e-1","20.95","1.00e+0","3.65e-1","3.98e-3","MFN1,MFN2"
"GOTERM_BP_DIRECT","positive regulation of T-helper 17 type immune response","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","CLEC7A,IL23A"
"GOTERM_BP_DIRECT","regulation of T cell activation","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","CD4,LAT"
"GOTERM_BP_DIRECT","negative regulation of CD4-positive, alpha-beta T cell proliferation","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","ITCH,CBLB"
"GOTERM_BP_DIRECT","positive regulation of interleukin-5 production","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","NLRP3,IL1RAP"
"GOTERM_BP_DIRECT","ossification involved in bone maturation","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","DCHS1,FAT4"
"GOTERM_BP_DIRECT","positive thymic T cell selection","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","ZAP70,CD3E"
"GOTERM_BP_DIRECT","neutrophil activation involved in immune response","2","142","13","19512","9.00e-2","3.52e-1","21.14","1.00e+0","3.11e-1","3.89e-3","FCER1G,SYK"
"GOTERM_CC_DIRECT","beta-catenin destruction complex","2","142","13","20808","8.46e-2","3.22e-1","22.54","1.00e+0","2.69e-1","3.43e-3","SIAH1,CACYBP"
"GOTERM_CC_DIRECT","alpha-beta T cell receptor complex","2","142","13","20808","8.46e-2","3.22e-1","22.54","1.00e+0","2.69e-1","3.43e-3","CD247,CD3E"
"UP_SEQ_FEATURE","DOMAIN:REM-1","2","141","13","20669","8.46e-2","1.00e+0","22.55","1.00e+0","9.88e-1","3.43e-3","TRIP10,PKN2"
"INTERPRO","Cullin_repeat-like_dom_sf","2","142","13","20827","8.45e-2","3.67e-1","22.56","1.00e+0","3.44e-1","3.43e-3","EXOC7,CUL1"
"INTERPRO","HR1_rho-bd","2","142","13","20827","8.45e-2","3.67e-1","22.56","1.00e+0","3.44e-1","3.43e-3","TRIP10,PKN2"
"INTERPRO","Cadherin-domain_protein","2","142","13","20827","8.45e-2","3.67e-1","22.56","1.00e+0","3.44e-1","3.43e-3","DCHS1,FAT4"
"GOTERM_MF_DIRECT","carbohydrate derivative binding","2","142","12","19272","8.44e-2","3.58e-1","22.62","1.00e+0","3.12e-1","3.39e-3","NOD1,NOD2"
"GOTERM_MF_DIRECT","transcription regulator activator activity","2","142","12","19272","8.44e-2","3.58e-1","22.62","1.00e+0","3.12e-1","3.39e-3","STK3,SAV1"
"GOTERM_MF_DIRECT","ubiquitin ligase activator activity","2","142","12","19272","8.44e-2","3.58e-1","22.62","1.00e+0","3.12e-1","3.39e-3","PIN1,SKP1"
"GOTERM_BP_DIRECT","negative thymic T cell selection","2","142","12","19512","8.34e-2","3.35e-1","22.90","1.00e+0","2.96e-1","3.31e-3","ZAP70,CD3E"
"GOTERM_BP_DIRECT","T follicular helper cell differentiation","2","142","12","19512","8.34e-2","3.35e-1","22.90","1.00e+0","2.96e-1","3.31e-3","TBK1,ICOS"
"PIR_SUPERFAMILY","14-3-3","2","24","7","1941","8.02e-2","3.21e-1","23.11","7.37e-1","3.21e-1","2.96e-3","YWHAE,YWHAQ"
"PIR_SUPERFAMILY","Toll-like_receptor","2","24","7","1941","8.02e-2","3.21e-1","23.11","7.37e-1","3.21e-1","2.96e-3","TLR4,TLR3"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 9","2","141","12","20669","7.83e-2","1.00e+0","24.43","1.00e+0","9.88e-1","2.92e-3","DCHS1,FAT4"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 8","2","141","12","20669","7.83e-2","1.00e+0","24.43","1.00e+0","9.88e-1","2.92e-3","DCHS1,FAT4"
"GOTERM_MF_DIRECT","GTPase activating protein binding","2","142","11","19272","7.76e-2","3.43e-1","24.68","1.00e+0","2.98e-1","2.84e-3","CDH1,PIN1"
"GOTERM_MF_DIRECT","phospholipase activator activity","2","142","11","19272","7.76e-2","3.43e-1","24.68","1.00e+0","2.98e-1","2.84e-3","LCK,FYN"
"GOTERM_BP_DIRECT","mitochondrion localization","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","MFN1,MFN2"
"GOTERM_BP_DIRECT","cell activation","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","SYK,CLEC7A"
"GOTERM_BP_DIRECT","regulation of protein localization to nucleus","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","PIN1,NF2"
"GOTERM_BP_DIRECT","B cell apoptotic process","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","TRAF3IP2,BCL10"
"GOTERM_BP_DIRECT","regulation of B cell differentiation","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","CYLD,CARD11"
"GOTERM_BP_DIRECT","positive regulation of mast cell degranulation","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","FCER1G,SYK"
"GOTERM_BP_DIRECT","regulation of type I interferon production","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","TBK1,IRF7"
"GOTERM_BP_DIRECT","gamma-delta T cell activation","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","CD247,CD3E"
"GOTERM_BP_DIRECT","positive regulation of epithelial cell apoptotic process","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","CUL1,SKP1"
"GOTERM_BP_DIRECT","positive regulation of lipopolysaccharide-mediated signaling pathway","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","LY96,CD14"
"GOTERM_BP_DIRECT","cellular response to lipoteichoic acid","2","142","11","19512","7.67e-2","3.11e-1","24.98","1.00e+0","2.75e-1","2.77e-3","CD14,TLR4"
"SMART","Mob1_phocein","2","107","8","10704","7.66e-2","3.74e-1","25.01","9.99e-1","3.40e-1","2.67e-3","MOB1B,MOB1A"
"SMART","IRF-3","2","107","8","10704","7.66e-2","3.74e-1","25.01","9.99e-1","3.40e-1","2.67e-3","IRF3,IRF7"
"UP_SEQ_FEATURE","DOMAIN:ITAM","2","141","11","20669","7.21e-2","1.00e+0","26.65","1.00e+0","9.88e-1","2.44e-3","FCER1G,CD3E"
"INTERPRO","IL-1_rcpt_fam","2","142","11","20827","7.20e-2","3.24e-1","26.67","1.00e+0","3.04e-1","2.44e-3","IL1R1,IL1RAP"
"GOTERM_MF_DIRECT","thioesterase binding","2","142","10","19272","7.08e-2","3.21e-1","27.14","1.00e+0","2.79e-1","2.33e-3","TRAF4,ARF6"
"GOTERM_BP_DIRECT","cellular response to muramyl dipeptide","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","NOD1,NOD2"
"GOTERM_BP_DIRECT","interleukin-17-mediated signaling pathway","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","TRAF3IP2,IKBKE"
"GOTERM_BP_DIRECT","mitotic cell cycle phase transition","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","LATS1,LATS2"
"GOTERM_BP_DIRECT","type 2 immune response","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","TRAF3IP2,FCER1A"
"GOTERM_BP_DIRECT","positive regulation of CD4-positive, alpha-beta T cell proliferation","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","CD3E,CARD11"
"GOTERM_BP_DIRECT","germinal center formation","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","BCL3,TNFSF13B"
"GOTERM_BP_DIRECT","positive regulation of protein K63-linked ubiquitination","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","DDX3X,NOD2"
"GOTERM_BP_DIRECT","positive regulation of B cell activation","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","NOD2,TICAM1"
"GOTERM_BP_DIRECT","positive regulation of natural killer cell activation","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","IL23A,TICAM1"
"GOTERM_BP_DIRECT","alpha-beta T cell activation","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","CD247,CD3E"
"GOTERM_BP_DIRECT","positive regulation of alpha-beta T cell differentiation","2","142","10","19512","7.00e-2","2.95e-1","27.48","1.00e+0","2.61e-1","2.28e-3","ZAP70,SYK"
"SMART","14_3_3","2","107","7","10704","6.73e-2","3.70e-1","28.58","9.98e-1","3.37e-1","2.01e-3","YWHAE,YWHAQ"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ISG15)","2","141","10","20669","6.57e-2","1.00e+0","29.32","1.00e+0","9.88e-1","2.01e-3","IFIH1,IRF3"
"UP_SEQ_FEATURE","DOMAIN:SH2 2","2","141","10","20669","6.57e-2","1.00e+0","29.32","1.00e+0","9.88e-1","2.01e-3","ZAP70,SYK"
"UP_SEQ_FEATURE","DOMAIN:IRF tryptophan pentad repeat","2","141","10","20669","6.57e-2","1.00e+0","29.32","1.00e+0","9.88e-1","2.01e-3","IRF3,IRF7"
"UP_SEQ_FEATURE","SITE:Cleavage; by CASP3","2","141","10","20669","6.57e-2","1.00e+0","29.32","1.00e+0","9.88e-1","2.01e-3","MAVS,IRF3"
"UP_SEQ_FEATURE","DOMAIN:SH2 1","2","141","10","20669","6.57e-2","1.00e+0","29.32","1.00e+0","9.88e-1","2.01e-3","ZAP70,SYK"
"INTERPRO","Interferon_reg_fact_DNA-bd_dom","2","142","10","20827","6.57e-2","3.01e-1","29.33","1.00e+0","2.82e-1","2.00e-3","IRF3,IRF7"
"INTERPRO","Interferon_reg_fac_CS","2","142","10","20827","6.57e-2","3.01e-1","29.33","1.00e+0","2.82e-1","2.00e-3","IRF3,IRF7"
"GOTERM_MF_DIRECT","CD4 receptor binding","2","142","9","19272","6.40e-2","2.94e-1","30.16","1.00e+0","2.56e-1","1.88e-3","LCK,FYN"
"GOTERM_BP_DIRECT","negative regulation of cyclin-dependent protein serine/threonine kinase activity","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","LATS1,LATS2"
"GOTERM_BP_DIRECT","positive regulation of pyroptotic inflammatory response","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","CASP8,NLRP1"
"GOTERM_BP_DIRECT","pore complex assembly","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","GSDMD,AFDN"
"GOTERM_BP_DIRECT","regulation of immunoglobulin production","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","CD40,CD40LG"
"GOTERM_BP_DIRECT","vesicle tethering involved in exocytosis","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","EXOC7,EXOC2"
"GOTERM_BP_DIRECT","positive regulation of gamma-delta T cell differentiation","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","SYK,LCK"
"GOTERM_BP_DIRECT","TRAIL-activated apoptotic signaling pathway","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","CASP8,FADD"
"GOTERM_BP_DIRECT","necroptotic signaling pathway","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","FADD,TLR3"
"GOTERM_BP_DIRECT","positive regulation of mitochondrial membrane potential","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","MFN1,BID"
"GOTERM_BP_DIRECT","protein localization to endoplasmic reticulum","2","142","9","19512","6.32e-2","2.79e-1","30.54","1.00e+0","2.47e-1","1.83e-3","YWHAE,STING1"
"GOTERM_CC_DIRECT","flotillin complex","2","142","9","20808","5.94e-2","2.50e-1","32.56","1.00e+0","2.08e-1","1.61e-3","CDH1,CTNNA1"
"UP_SEQ_FEATURE","DOMAIN:SARAH","2","141","9","20669","5.93e-2","9.61e-1","32.58","1.00e+0","9.50e-1","1.61e-3","STK3,SAV1"
"UP_SEQ_FEATURE","DNA_BIND:IRF tryptophan pentad repeat","2","141","9","20669","5.93e-2","9.61e-1","32.58","1.00e+0","9.50e-1","1.61e-3","IRF3,IRF7"
"INTERPRO","SARAH_dom","2","142","9","20827","5.93e-2","2.83e-1","32.59","1.00e+0","2.65e-1","1.61e-3","STK3,SAV1"
"INTERPRO","Tyrosine-phos_adapter","2","142","9","20827","5.93e-2","2.83e-1","32.59","1.00e+0","2.65e-1","1.61e-3","ZAP70,SYK"
"KEGG_PATHWAY","Virion - Adenovirus","2","142","4","9496","5.81e-2","1.36e-1","33.44","1.00e+0","8.10e-2","1.31e-3","CD86,CD80"
"GOTERM_MF_DIRECT","ubiquitin ligase complex scaffold activity","2","142","8","19272","5.71e-2","2.74e-1","33.93","1.00e+0","2.38e-1","1.47e-3","CUL1,SKP1"
"GOTERM_BP_DIRECT","positive regulation of T-helper 1 cell cytokine production","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","IL1R1,IL1B"
"GOTERM_BP_DIRECT","negative regulation of RIG-I signaling pathway","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","RNF125,DHX58"
"GOTERM_BP_DIRECT","cellular response to interleukin-17","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","TRAF3IP2,IL1B"
"GOTERM_BP_DIRECT","regulation of T cell receptor signaling pathway","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","LCK,BCL10"
"GOTERM_BP_DIRECT","gamma-delta T cell differentiation","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","SYK,LCK"
"GOTERM_BP_DIRECT","cellular response to peptidoglycan","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","NLRP3,NOD2"
"GOTERM_BP_DIRECT","apical junction assembly","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","CTNNA1,PKN2"
"GOTERM_BP_DIRECT","positive regulation of xenophagy","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","TBK1,NOD1"
"GOTERM_BP_DIRECT","positive regulation of chemokine (C-C motif) ligand 5 production","2","142","8","19512","5.64e-2","2.64e-1","34.35","1.00e+0","2.33e-1","1.43e-3","MAVS,DDX3X"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 11","2","141","8","20669","5.29e-2","8.91e-1","36.65","1.00e+0","8.80e-1","1.26e-3","DCHS1,FAT4"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 10","2","141","8","20669","5.29e-2","8.91e-1","36.65","1.00e+0","8.80e-1","1.26e-3","DCHS1,FAT4"
"INTERPRO","Bcl2_BH3_motif_CS","2","142","8","20827","5.29e-2","2.60e-1","36.67","1.00e+0","2.44e-1","1.26e-3","BID,BCL2L1"
"INTERPRO","Interferon_reg_factor-3","2","142","8","20827","5.29e-2","2.60e-1","36.67","1.00e+0","2.44e-1","1.26e-3","IRF3,IRF7"
"INTERPRO","MOB_kinase_act_fam","2","142","8","20827","5.29e-2","2.60e-1","36.67","1.00e+0","2.44e-1","1.26e-3","MOB1B,MOB1A"
"INTERPRO","Helicase/UvrB_N","2","142","8","20827","5.29e-2","2.60e-1","36.67","1.00e+0","2.44e-1","1.26e-3","IFIH1,DHX58"
"INTERPRO","MOB_kinase_act_sf","2","142","8","20827","5.29e-2","2.60e-1","36.67","1.00e+0","2.44e-1","1.26e-3","MOB1B,MOB1A"
