"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","osmosensory signaling pathway","4","142","10","19512","4.27e-5","6.77e-4","54.96","5.59e-2","5.98e-4","5.46e-7","PYCARD,CASP1,NLRP3,CARD16"
"SMART","DED","4","107","7","10704","3.21e-5","7.06e-4","57.16","2.82e-3","6.42e-4","3.23e-7","CASP8,CASP10,FADD,CFLAR"
"GOTERM_BP_DIRECT","CD4-positive, alpha-beta T cell proliferation","4","142","9","19512","3.01e-5","4.88e-4","61.07","3.97e-2","4.31e-4","3.29e-7","ITCH,CBLB,CD3E,CARD11"
"UP_SEQ_FEATURE","DOMAIN:DED","4","141","7","20669","1.04e-5","2.24e-3","83.76","1.78e-2","2.21e-3","7.15e-8","CASP8,CASP10,FADD,CFLAR"
"INTERPRO","DED_dom","4","142","7","20827","1.04e-5","3.82e-4","83.81","4.96e-3","3.58e-4","7.14e-8","CASP8,CASP10,FADD,CFLAR"
"GOTERM_CC_DIRECT","CD95 death-inducing signaling complex","4","142","6","20808","6.00e-6","9.60e-5","97.69","1.44e-3","8.00e-5","3.09e-8","CASP8,CASP10,FADD,CFLAR"
"GOTERM_CC_DIRECT","AIM2 inflammasome complex","4","142","4","20808","1.21e-6","2.24e-5","146.54","2.91e-4","1.87e-5","2.08e-9","PYCARD,AIM2,CASP1,CARD16"
"GOTERM_CC_DIRECT","IPAF inflammasome complex","4","142","4","20808","1.21e-6","2.24e-5","146.54","2.91e-4","1.87e-5","2.08e-9","CASP1,CARD16,NLRC4,NAIP"
"UP_KW_MOLECULAR_FUNCTION","Host cell receptor for virus entry","3","87","75","12059","1.00e-1","3.36e-1","5.54","9.80e-1","2.82e-1","1.69e-2","CD86,CD4,CD80"
"SMART","LRR_SD22","3","107","54","10704","9.98e-2","3.82e-1","5.56","1.00e+0","3.47e-1","1.67e-2","ERBIN,TLR4,TLR3"
"GOTERM_MF_DIRECT","p53 binding","3","142","72","19272","9.76e-2","3.89e-1","5.65","1.00e+0","3.39e-1","1.61e-2","RNF125,MAPKAPK5,TP53BP1"
"GOTERM_BP_DIRECT","negative regulation of TORC1 signaling","3","142","72","19512","9.56e-2","3.69e-1","5.73","1.00e+0","3.26e-1","1.56e-2","TBK1,SYK,CUL1"
"GOTERM_BP_DIRECT","negative regulation of autophagy","3","142","72","19512","9.56e-2","3.69e-1","5.73","1.00e+0","3.26e-1","1.56e-2","SYK,CUL1,BCL2L1"
"GOTERM_BP_DIRECT","epithelial cell proliferation","3","142","72","19512","9.56e-2","3.69e-1","5.73","1.00e+0","3.26e-1","1.56e-2","STK3,SAV1,BCL2L1"
"KEGG_PATHWAY","Circadian rhythm","3","142","34","9496","9.03e-2","1.93e-1","5.90","1.00e+0","1.15e-1","1.40e-2","FBXW11,CUL1,SKP1"
"GOTERM_BP_DIRECT","mitotic cytokinesis","3","142","69","19512","8.90e-2","3.52e-1","5.97","1.00e+0","3.11e-1","1.39e-2","EXOC7,EXOC2,ARF6"
"SMART","WW","3","107","50","10704","8.76e-2","3.82e-1","6.00","1.00e+0","3.47e-1","1.35e-2","ITCH,PIN1,SAV1"
"GOTERM_BP_DIRECT","cellular response to xenobiotic stimulus","3","142","67","19512","8.46e-2","3.39e-1","6.15","1.00e+0","3.00e-1","1.29e-2","AIM2,IL1B,TLR3"
"UP_SEQ_FEATURE","SITE:Cleavage; by autolysis","3","141","66","20669","7.38e-2","1.00e+0","6.66","1.00e+0","9.88e-1","1.04e-2","CARD8,CASP4,NLRP1"
"GOTERM_BP_DIRECT","SCF-dependent proteasomal ubiquitin-dependent protein catabolic process","3","142","61","19512","7.20e-2","3.03e-1","6.76","1.00e+0","2.68e-1","9.98e-3","FBXW11,CUL1,SKP1"
"GOTERM_CC_DIRECT","transcription repressor complex","3","142","65","20808","7.19e-2","2.93e-1","6.76","1.00e+0","2.44e-1","9.98e-3","TBL1XR1,TBL1X,RELB"
"INTERPRO","UBA-like_sf","3","142","61","20827","6.43e-2","3.01e-1","7.21","1.00e+0","2.82e-1","8.37e-3","LATS1,LATS2,CBLB"
"GOTERM_BP_DIRECT","cellular defense response","3","142","57","19512","6.39e-2","2.80e-1","7.23","1.00e+0","2.47e-1","8.29e-3","LY96,BCL10,LSP1"
"GOTERM_BP_DIRECT","regulation of immune system process","3","142","57","19512","6.39e-2","2.80e-1","7.23","1.00e+0","2.47e-1","8.29e-3","CASP8,CD40LG,CD80"
"GOTERM_BP_DIRECT","negative regulation of cytokine production involved in inflammatory response","3","142","57","19512","6.39e-2","2.80e-1","7.23","1.00e+0","2.47e-1","8.29e-3","PYCARD,MEFV,TLR4"
"GOTERM_CC_DIRECT","cytoplasmic microtubule","3","142","60","20808","6.25e-2","2.59e-1","7.33","1.00e+0","2.16e-1","8.02e-3","CYLD,FBXW11,BCL10"
"GOTERM_BP_DIRECT","neutrophil chemotaxis","3","142","56","19512","6.20e-2","2.79e-1","7.36","1.00e+0","2.47e-1","7.89e-3","FCER1G,SYK,IL1B"
"GOTERM_BP_DIRECT","cellular response to interleukin-1","3","142","56","19512","6.20e-2","2.79e-1","7.36","1.00e+0","2.47e-1","7.89e-3","PYCARD,CD40,TANK"
"GOTERM_BP_DIRECT","intrinsic apoptotic signaling pathway in response to DNA damage","3","142","56","19512","6.20e-2","2.79e-1","7.36","1.00e+0","2.47e-1","7.89e-3","CASP9,IKBKE,BCL2L1"
"GOTERM_BP_DIRECT","protein monoubiquitination","3","142","56","19512","6.20e-2","2.79e-1","7.36","1.00e+0","2.47e-1","7.89e-3","ITCH,CUL1,SKP1"
"UP_SEQ_FEATURE","DOMAIN:AGC-kinase C-terminal","3","141","59","20669","6.07e-2","9.74e-1","7.45","1.00e+0","9.62e-1","7.65e-3","LATS1,LATS2,PKN2"
"INTERPRO","AGC-kinase_C","3","142","59","20827","6.06e-2","2.86e-1","7.46","1.00e+0","2.68e-1","7.63e-3","LATS1,LATS2,PKN2"
"GOTERM_BP_DIRECT","ERK1 and ERK2 cascade","3","142","55","19512","6.01e-2","2.78e-1","7.50","1.00e+0","2.46e-1","7.51e-3","RAPGEF1,NOD1,TLR4"
"UP_SEQ_FEATURE","REPEAT:LRR 13","3","141","58","20669","5.89e-2","9.61e-1","7.58","1.00e+0","9.50e-1","7.29e-3","ERBIN,TLR4,TLR3"
"INTERPRO","SMAD_FHA_dom_sf","3","142","55","20827","5.35e-2","2.61e-1","8.00","1.00e+0","2.44e-1","6.28e-3","AFDN,IRF3,IRF7"
"GOTERM_BP_DIRECT","T cell proliferation","3","142","51","19512","5.25e-2","2.55e-1","8.08","1.00e+0","2.26e-1","6.09e-3","IL23A,CD3E,TNFSF13B"
"GOTERM_BP_DIRECT","positive regulation of protein-containing complex assembly","3","142","51","19512","5.25e-2","2.55e-1","8.08","1.00e+0","2.26e-1","6.09e-3","SYK,CLEC7A,BID"
"UP_SEQ_FEATURE","DOMAIN:UBA","3","141","54","20669","5.19e-2","8.90e-1","8.14","1.00e+0","8.79e-1","5.98e-3","LATS1,LATS2,CBLB"
"UP_SEQ_FEATURE","DISULFID:Redox-active","3","141","53","20669","5.02e-2","8.70e-1","8.30","1.00e+0","8.59e-1","5.67e-3","NLRP3,TXN,TXN2"
"INTERPRO","WW_dom","3","142","53","20827","5.01e-2","2.60e-1","8.30","1.00e+0","2.43e-1","5.67e-3","ITCH,PIN1,SAV1"
"GOTERM_BP_DIRECT","protein targeting","3","142","49","19512","4.89e-2","2.43e-1","8.41","1.00e+0","2.14e-1","5.44e-3","YWHAE,YWHAQ,ERBIN"
"GOTERM_BP_DIRECT","substantia nigra development","3","142","48","19512","4.71e-2","2.43e-1","8.59","1.00e+0","2.14e-1","5.14e-3","YWHAE,CASP5,YWHAQ"
"UP_SEQ_FEATURE","DOMAIN:WW","3","141","49","20669","4.35e-2","8.23e-1","8.97","1.00e+0","8.12e-1","4.55e-3","ITCH,PIN1,SAV1"
"INTERPRO","WW_dom_sf","3","142","49","20827","4.35e-2","2.43e-1","8.98","1.00e+0","2.28e-1","4.55e-3","ITCH,PIN1,SAV1"
